rank,gene,escape_marker_effect,escape_marker_score,escape_marker_direction,trajectory_correlation,trajectory_score,trajectory_direction,differential_expression_effect,de_cell_lines_supported,de_direction,differential_expression_score,regulatory_effect,regulatory_score,transition_model_effect,transition_model_score,transition_model_direction,signature_score,signature_direction,evidence_source_count,available_evidence_weight,priority_score,evidence_sources
59,L1CAM,,,,,,,-2.2591231,2.0,lower_in_repop,0.353729207179496,,,,,,1.0,down,2,0.30000000000000004,0.5691528047863307,differential_expression;signature
60,PLOD2,,,,,,,1.7177486499999999,2.0,higher_in_repop,0.3525607906006397,,,,,,1.0,up,2,0.30000000000000004,0.5683738604004264,differential_expression;signature
61,SPC24,,,,,,,1.6448909999999999,2.0,higher_in_repop,0.3521199862698137,,,,,,1.0,up,2,0.30000000000000004,0.5680799908465424,differential_expression;signature
62,IFIT1,,,,,,,-4.8608133,2.0,lower_in_repop,0.3507942230529521,,,,,,1.0,down,2,0.30000000000000004,0.5671961487019681,differential_expression;signature
63,TROAP,,,,,,,1.642864915,2.0,higher_in_repop,0.3480115917524801,,,,,,1.0,up,2,0.30000000000000004,0.56534106116832,differential_expression;signature
64,FOXM1,,,,,,,1.519883175,2.0,higher_in_repop,0.3417309731959666,,,,,,1.0,up,2,0.30000000000000004,0.5611539821306443,differential_expression;signature
65,TSPAN1,,,,,,,-3.04678275,2.0,lower_in_repop,0.3384370628627688,,,,,,1.0,down,2,0.30000000000000004,0.5589580419085125,differential_expression;signature
66,PTTG1,0.4509165585041046,0.398660220753574,higher_in_escape_prone,,,,1.8806817,2.0,higher_in_repop,0.5380500352739757,,,,,,1.0,up,3,0.55,0.5586819313512521,escape_marker;differential_expression;signature
67,ANKRD1,,,,,,,-6.20144845,2.0,lower_in_repop,0.33514259446624683,,,,,,1.0,down,2,0.30000000000000004,0.5567617296441645,differential_expression;signature
68,TUBA1B,0.5279414057731628,0.5872682732214988,higher_in_escape_prone,0.4314121331796063,0.5536001310489799,increasing,0.88781987,2.0,higher_in_repop,0.5179608575325344,,,,,,,,3,0.65,0.5555834861871963,escape_marker;trajectory;differential_expression
69,ANXA3,,,,,,,-2.8906378999999998,2.0,lower_in_repop,0.3333341292701042,,,,,,1.0,down,2,0.30000000000000004,0.5555560861800694,differential_expression;signature
70,SHISA2,,,,,,,-2.35183155,2.0,lower_in_repop,0.32778498712737303,,,,,,1.0,down,2,0.30000000000000004,0.5518566580849152,differential_expression;signature
71,EPAS1,,,,,,,-3.27757,2.0,lower_in_repop,0.32677126122716793,,,,,,1.0,down,2,0.30000000000000004,0.5511808408181119,differential_expression;signature
72,MT2A,,,,,,,1.72045255,2.0,higher_in_repop,0.325993351410814,,,,,,1.0,up,2,0.30000000000000004,0.5506622342738758,differential_expression;signature
73,OAS1,,,,,,,-4.03806805,2.0,lower_in_repop,0.3259648034989776,,,,,,1.0,down,2,0.30000000000000004,0.5506432023326516,differential_expression;signature
74,KLK5,,,,,,,-6.14873175,2.0,lower_in_repop,0.32596025518795224,,,,,,1.0,down,2,0.30000000000000004,0.5506401701253014,differential_expression;signature
75,MAP1B,,,,,,,-3.0800256,2.0,lower_in_repop,0.3242170631147472,,,,,,1.0,down,2,0.30000000000000004,0.5494780420764981,differential_expression;signature
