gene,direction,cell_lines_supported,mean_log2_fold_change,minimum_adjusted_p_value,absolute_mean_log2_fold_change,comparison,required_cell_lines
HOPX,down,2,-3.765792,0.0009581788771895,3.765792,REPOP_vs_TIS,2
CDK6,down,2,-3.72871015,9.356441449744818e-80,3.72871015,REPOP_vs_TIS,2
LAMC2,down,2,-3.71647385,3.0129725760452784e-06,3.71647385,REPOP_vs_TIS,2
ATP13A4,down,2,-3.6791631000000002,0.0036946128007334,3.6791631000000002,REPOP_vs_TIS,2
FYB2,down,2,-3.63270985,1.7833056389838321e-87,3.63270985,REPOP_vs_TIS,2
CLDN1,down,2,-3.3503992499999997,0.0,3.3503992499999997,REPOP_vs_TIS,2
EPAS1,down,2,-3.27757,5.002798360626599e-80,3.27757,REPOP_vs_TIS,2
NTN4,down,2,-3.2084770000000002,5.469432914941669e-08,3.2084770000000002,REPOP_vs_TIS,2
DDX60,down,2,-3.1837983,1.0984687179288578e-266,3.1837983,REPOP_vs_TIS,2
CALD1,down,2,-3.1744313999999996,1.7187624565490809e-301,3.1744313999999996,REPOP_vs_TIS,2
GPR87,down,2,-3.1689039,2.988071818891301e-193,3.1689039,REPOP_vs_TIS,2
EGLN3,down,2,-3.1241510999999997,2.8377548313537402e-42,3.1241510999999997,REPOP_vs_TIS,2
CYP1A1,down,2,-3.1209024000000003,7.912314990240038e-70,3.1209024000000003,REPOP_vs_TIS,2
PRSS23,down,2,-3.0954115,0.0,3.0954115,REPOP_vs_TIS,2
GBP2,down,2,-3.09220345,4.3736485104410453e-128,3.09220345,REPOP_vs_TIS,2
MAP1B,down,2,-3.0800256,1.200897362947684e-189,3.0800256,REPOP_vs_TIS,2
SYBU,down,2,-3.05389225,1.7275114161526526e-106,3.05389225,REPOP_vs_TIS,2
KMO,down,2,-3.04805765,1.3469819218867748e-108,3.04805765,REPOP_vs_TIS,2
TSPAN1,down,2,-3.04678275,6.759008777396522e-181,3.04678275,REPOP_vs_TIS,2
SYTL2,down,2,-2.9973387,0.0,2.9973387,REPOP_vs_TIS,2
LRRN1,down,2,-2.9668803500000003,6.3387772191314285e-139,2.9668803500000003,REPOP_vs_TIS,2
PSCA,down,2,-2.95467825,6.313333513736782e-19,2.95467825,REPOP_vs_TIS,2
H4C8,down,2,-2.94087065,0.0,2.94087065,REPOP_vs_TIS,2
GPNMB,down,2,-2.9013776,0.0,2.9013776,REPOP_vs_TIS,2
ANXA3,down,2,-2.8906378999999998,0.0,2.8906378999999998,REPOP_vs_TIS,2
COL21A1,down,2,-2.8855707,1.3330261971974762e-05,2.8855707,REPOP_vs_TIS,2
SLC6A14,down,2,-2.88184955,4.054226914867635e-239,2.88184955,REPOP_vs_TIS,2
MYO1B,down,2,-2.87276125,0.0,2.87276125,REPOP_vs_TIS,2
DUSP10,down,2,-2.8622369,1.3391179056407165e-13,2.8622369,REPOP_vs_TIS,2
MACC1,down,2,-2.83357155,0.0,2.83357155,REPOP_vs_TIS,2
C15orf48,down,2,-2.8279254,5.388601141433808e-08,2.8279254,REPOP_vs_TIS,2
CDKN2B,down,2,-2.8015751,0.0,2.8015751,REPOP_vs_TIS,2
COL5A1,down,2,-2.7770152,9.688593430836611e-165,2.7770152,REPOP_vs_TIS,2
KIF5C,down,2,-2.77589605,1.4432629021907049e-71,2.77589605,REPOP_vs_TIS,2
S100A9,down,2,-2.7295494,1.358229435020415e-81,2.7295494,REPOP_vs_TIS,2
MAF,down,2,-2.7008333,1.4067079634755309e-08,2.7008333,REPOP_vs_TIS,2
LAMB3,down,2,-2.6885713,6.7825777825302325e-49,2.6885713,REPOP_vs_TIS,2
BCAS1,down,2,-2.68147325,0.0,2.68147325,REPOP_vs_TIS,2
PGM2L1,down,2,-2.65905325,5.57805657397598e-67,2.65905325,REPOP_vs_TIS,2
TUBA4A,down,2,-2.644273,8.440280105059644e-93,2.644273,REPOP_vs_TIS,2
ALDH1A3,down,2,-2.643018625,2.269639176846638e-112,2.643018625,REPOP_vs_TIS,2
APOD,down,2,-2.6353159,0.0,2.6353159,REPOP_vs_TIS,2
AC133540.1,down,2,-2.6090484,7.716293567735561e-09,2.6090484,REPOP_vs_TIS,2
RTL5,down,2,-2.5789035,1.4084163726888161e-14,2.5789035,REPOP_vs_TIS,2
LIMCH1,down,2,-2.556257,8.829987113384965e-70,2.556257,REPOP_vs_TIS,2
ABCC3,down,2,-2.5320806,0.0,2.5320806,REPOP_vs_TIS,2
DDX58,down,2,-2.45265515,0.0,2.45265515,REPOP_vs_TIS,2
KRT80,down,2,-2.4400741000000004,0.0,2.4400741000000004,REPOP_vs_TIS,2
ENC1,down,2,-2.41824075,0.0,2.41824075,REPOP_vs_TIS,2
FAM198B-AS1,down,2,-2.4141751,5.609491031962404e-18,2.4141751,REPOP_vs_TIS,2
PHLDB2,down,2,-2.4006396,4.441220584576208e-37,2.4006396,REPOP_vs_TIS,2
PURPL,down,2,-2.39720225,3.317361277154685e-05,2.39720225,REPOP_vs_TIS,2
GPRC5A,down,2,-2.3678554,0.0,2.3678554,REPOP_vs_TIS,2
EPHA4,down,2,-2.3669402,1.7367356216625048e-118,2.3669402,REPOP_vs_TIS,2
TNFRSF21,down,2,-2.3545072,1.3976683608459992e-92,2.3545072,REPOP_vs_TIS,2
SHISA2,down,2,-2.35183155,1.1508121909076028e-160,2.35183155,REPOP_vs_TIS,2
PARP9,down,2,-2.3282875499999998,0.0,2.3282875499999998,REPOP_vs_TIS,2
SYT8,down,2,-2.3115324,3.593045406717502e-306,2.3115324,REPOP_vs_TIS,2
SDC2,down,2,-2.2620704000000003,0.0,2.2620704000000003,REPOP_vs_TIS,2
L1CAM,down,2,-2.2591231,0.0,2.2591231,REPOP_vs_TIS,2
PPP1R14B-AS1,down,2,-2.2511325,1.086535816866816e-22,2.2511325,REPOP_vs_TIS,2
IZUMO4,down,2,-2.22357865,9.812698827066825e-13,2.22357865,REPOP_vs_TIS,2
FGF12,down,2,-2.20922595,4.694379013139458e-168,2.20922595,REPOP_vs_TIS,2
COL16A1,down,2,-2.2026871000000003,3.817689827929278e-07,2.2026871000000003,REPOP_vs_TIS,2
GRHL3,down,2,-2.1924429500000002,2.542161283683447e-13,2.1924429500000002,REPOP_vs_TIS,2
IRF9,down,2,-2.1855907,4.801041051639944e-165,2.1855907,REPOP_vs_TIS,2
RND1,down,2,-2.1577549,1.589442281956038e-289,2.1577549,REPOP_vs_TIS,2
