perturbation_rank,model_name,target,intervention,association_sign,direction_evidence,priority_score,evidence_source_count,affected_pathway_count,affected_pathways,mean_baseline_escape_probability,mean_perturbed_escape_probability,mean_delta_escape_probability,mean_predicted_escape_reduction,median_predicted_escape_reduction,maximum_predicted_escape_reduction,cells_with_reduced_escape_probability,fraction_cells_with_reduced_escape_probability,perturbation_strength,confidence_score,intervention_score,predicted_effect,rap_effect_fraction
16,rap_plus_pathways,YBX2,inhibit,1.0,differential_expression_effect,0.6835576591719393,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.4084454962526363,0.011324797499367312,predicted_suppression,0.25
17,rap_plus_pathways,ARHGAP11A,inhibit,1.0,differential_expression_effect,0.6796115438135014,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.40647243857341736,0.011270091354051158,predicted_suppression,0.25
18,rap_plus_pathways,NUF2,inhibit,1.0,differential_expression_effect,0.6675860052084984,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.40045966927091586,0.011103377813600894,predicted_suppression,0.25
19,rap_plus_pathways,FBXO17,inhibit,1.0,differential_expression_effect,0.6531246883732527,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.393229010853293,0.010902896370867526,predicted_suppression,0.25
20,rap_plus_pathways,NCF2,activate,-1.0,differential_expression_effect,0.6524182021795357,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.3928757677564345,0.010893102147215474,predicted_suppression,0.25
21,rap_plus_pathways,KIF14,inhibit,1.0,differential_expression_effect,0.6503130591297537,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.3918231962315435,0.010863917936635716,predicted_suppression,0.25
22,rap_plus_pathways,ENC1,activate,-1.0,differential_expression_effect,0.6496829350893555,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.3915081342113444,0.010855182343732301,predicted_suppression,0.25
23,rap_plus_pathways,H4C8,activate,-1.0,differential_expression_effect,0.6461169056612761,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.3897251194973047,0.010805745440252767,predicted_suppression,0.25
24,rap_plus_pathways,NCAPH,inhibit,1.0,differential_expression_effect,0.6304158464734002,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.38187458990336676,0.010588077088588176,predicted_suppression,0.25
25,rap_plus_pathways,RND1,activate,-1.0,differential_expression_effect,0.625772321910648,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.37955282762199066,0.01052370255656496,predicted_suppression,0.25
26,rap_plus_pathways,KIF20A,inhibit,1.0,differential_expression_effect,0.6085210341331331,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.3709271837332332,0.010284542934931104,predicted_suppression,0.25
27,rap_plus_pathways,SYTL2,activate,-1.0,differential_expression_effect,0.607813155021956,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.37057324417764465,0.010274729400859038,predicted_suppression,0.25
28,rap_plus_pathways,GPRC5A,activate,-1.0,differential_expression_effect,0.6065401780514027,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.369936755692368,0.010257081750750104,predicted_suppression,0.25
29,rap_plus_pathways,ANXA1,activate,-1.0,differential_expression_effect,0.6065387251303759,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.3699360292318546,0.010257061608483189,predicted_suppression,0.25
30,rap_plus_pathways,GAS2L3,inhibit,1.0,differential_expression_effect,0.6053413605080713,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.3693373469207023,0.010240462194357052,predicted_suppression,0.25
31,rap_plus_pathways,MACC1,activate,-1.0,differential_expression_effect,0.5963635313460357,2.0,0,,0.40940627470332364,0.38167969281352704,-0.027726581889796556,0.027726581889796556,0.02822382447208653,0.055230976961823885,79508,1.0,0.25,0.3648484323396845,0.010115999936630161,predicted_suppression,0.25
32,rap_plus_pathways,IFI6,activate,-1.0,differential_expression_effect,0.8147518270098308,3.0,1,Interferon Alpha/Beta Signaling R-HSA-909733,0.40940627470332364,0.4276416022805129,0.018235327577189223,-0.018235327577189223,-0.018138777963173217,-1.856534230959228e-10,0,0.0,0.25,0.6073759135049154,-0.01107569874525668,predicted_worsening,0.25
33,rap_plus_pathways,ISG15,activate,-1.0,differential_expression_effect,0.6665757308663266,2.0,3,Interferon Alpha Response;Interferon Alpha/Beta Signaling R-HSA-909733;Interferon Gamma Response,0.40940627470332364,0.4564347225473885,0.047028447844064916,-0.047028447844064916,-0.04619151980987224,-5.478633390631164e-10,0,0.0,0.25,0.6999545320998299,-0.03291777520607372,predicted_worsening,0.25
34,rap_plus_pathways,IFI27,activate,-1.0,differential_expression_effect,0.6117934528541784,3.0,3,Interferon Alpha Response;Interferon Alpha/Beta Signaling R-HSA-909733;Interferon Gamma Response,0.40940627470332364,0.4564347225473885,0.047028447844064916,-0.047028447844064916,-0.04619151980987224,-5.478633390631164e-10,0,0.0,0.25,0.7058967264270891,-0.03319722738207252,predicted_worsening,0.25
35,rap_plus_pathways,AURKB,inhibit,1.0,differential_expression_effect,0.6030594551555394,2.0,2,E2F Targets;G2-M Checkpoint,0.40940627470332364,0.5594657219140116,0.15005944721068792,-0.15005944721068792,-0.1431460940150815,-3.1026126893481226e-09,0,0.0,0.25,0.5681963942444364,-0.08526323682742622,predicted_worsening,0.25
