cell_line,gene,escape_prone_mean,stable_tis_mean,log_fold_change,absolute_log_fold_change,mann_whitney_statistic,p_value,adjusted_p_value,direction
MCF7,INHBB,0.799691915512085,1.2009916305541992,-0.40129971504211426,0.40129971504211426,3909819.5,0.0,0.0,lower_in_escape_prone
MCF7,GSN,0.3533990979194641,0.7521862983703613,-0.3987872004508972,0.3987872004508972,3451725.0,0.0,0.0,lower_in_escape_prone
MCF7,PTTG1,0.5307939648628235,0.137060284614563,0.3937336802482605,0.3937336802482605,7015502.0,0.0,0.0,higher_in_escape_prone
MCF7,MYL12A,2.6668648719787598,3.059743642807007,-0.39287877082824707,0.39287877082824707,3084047.0,0.0,0.0,lower_in_escape_prone
MCF7,ELF3,0.8374166488647461,1.2258756160736084,-0.3884589672088623,0.3884589672088623,3770332.0,0.0,0.0,lower_in_escape_prone
MCF7,ANP32E,0.7888937592506409,0.40163591504096985,0.387257844209671,0.387257844209671,7108930.0,0.0,0.0,higher_in_escape_prone
MCF7,PRSS23,1.1613574028015137,1.547503113746643,-0.3861457109451294,0.3861457109451294,3940420.0,0.0,0.0,lower_in_escape_prone
MCF7,ERRFI1,0.40049323439598083,0.7849829196929932,-0.38448968529701233,0.38448968529701233,3676444.0,0.0,0.0,lower_in_escape_prone
MCF7,RDX,0.6341812014579773,1.017432451248169,-0.38325124979019165,0.38325124979019165,3865915.0,0.0,0.0,lower_in_escape_prone
MCF7,PCLAF,0.8262238502502441,0.44333937764167786,0.3828844726085663,0.3828844726085663,6859106.5,0.0,0.0,higher_in_escape_prone
MCF7,MALAT1,5.2886576652526855,5.670364856719971,-0.38170719146728516,0.38170719146728516,3728842.5,0.0,0.0,lower_in_escape_prone
MCF7,NRCAM,0.895844042301178,1.2762738466262817,-0.38042980432510376,0.38042980432510376,3842583.5,0.0,0.0,lower_in_escape_prone
MCF7,ID3,1.07740318775177,1.457367181777954,-0.3799639940261841,0.3799639940261841,3791932.5,0.0,0.0,lower_in_escape_prone
MCF7,TACC1,0.4914569556713104,0.8709754943847656,-0.3795185387134552,0.3795185387134552,3625660.0,0.0,0.0,lower_in_escape_prone
